clique_size,model_type,strength
10,non_gene,4.1266561150173665e-05
10,gene,0.000106623625729776
10,all,4.0617602154997727e-05
5,tf,0.0004735522650241722
5,non_gene,0.0002622175896852088
5,gene,0.00019678447378964234
5,all,0.004630024271877933
10,tf,0.00024845718438481384
10,non_gene,7.99026715079062e-05
10,gene,7.758341537218786e-05
10,all,0.0016157393280856833
5,tf,0.00015968881424893375
5,non_gene,0.0
5,gene,5.53135097292621e-05
5,all,0.0004958734769802369
10,tf,8.396061675878057e-05
10,non_gene,0.0
10,gene,3.217725797897508e-05
10,all,0.00017059286869865436
5,tf,5.7516308818150146e-05
5,non_gene,0.00012522101506983764
5,gene,0.00018202980539820657
5,all,0.0
10,tf,4.0738982709862814e-05
10,non_gene,5.278825541801025e-05
10,gene,5.6377037369412624e-05
10,all,0.0
5,tf,0.00015050404306611055
5,non_gene,0.0
5,gene,0.0002728848642484105
5,all,0.00014142320884284802
10,tf,8.831467052741501e-05
10,non_gene,0.0
10,gene,8.629886443909858e-05
10,all,4.9994563818691614e-05
5,tf,0.00024797886909598484
5,non_gene,0.00020208780840598
5,gene,0.0
5,all,0.0010250893416396019
10,tf,7.494185744125621e-05
10,non_gene,8.067862588915504e-05
10,gene,0.0
10,all,0.0003629413719665377
5,tf,0.00016667960481890734
5,non_gene,4.968408859263816e-05
5,gene,0.0010997965165763775
5,all,0.00012629768027202977
10,tf,8.134922058809668e-05
10,non_gene,3.2382102011816606e-05
10,gene,0.0003274246345903319
10,all,6.759002757397892e-05
5,tf,0.0029220180614779137
5,non_gene,0.0005701357020746806
5,gene,0.0002397846102617366
5,all,0.0
10,tf,0.0010468367273601534
10,non_gene,0.00014282656653880635
10,gene,0.00010916423524435611
10,all,0.0
5,tf,0.0007587813815601226
5,non_gene,0.0
5,gene,0.0004336199438588854
5,all,3.890649889586669e-05
10,tf,0.00020016676384367212
10,non_gene,0.0
10,gene,0.00010939192396016306
10,all,3.0131407323349735e-05
5,tf,0.00042579692444323516
5,non_gene,0.0006591116310972398
5,gene,0.0005415766025578179
5,all,0.0011419627155687334
10,tf,0.00010937386870040214
10,non_gene,0.00015970666901415448
10,gene,0.0001382985940434393
10,all,0.00028651608251676193
5,tf,0.00011129946679806829
5,non_gene,0.0003252172079647196
5,gene,3.736339735609799e-05
5,all,5.701775800082267e-05
10,tf,5.26703915703566e-05
10,non_gene,0.0001807636490797828
10,gene,2.6985561304970785e-05
10,all,3.3033650257398796e-05
5,tf,0.00036561066261178927
5,non_gene,0.00016412677134015625
5,gene,5.8255560714533476e-05
5,all,5.378418286500863e-05
10,tf,0.00012112719820910868
10,non_gene,5.230013300647903e-05
10,gene,3.703483224453574e-05
10,all,4.4806140278448516e-05
5,tf,0.00038334278076627694
5,non_gene,3.916825531496195e-05
5,gene,0.00020894577646831959
5,all,0.02954901249605509
10,tf,0.00015765085980701832
10,non_gene,2.8857075756747133e-05
10,gene,0.00010306574880319218
10,all,0.007509087423019682
5,tf,0.0006611662492006182
5,non_gene,0.0010469463462611929
5,gene,0.0006532845234353201
5,all,0.00015573819470315244
10,tf,0.00017500359892915748
10,non_gene,0.0002490365376780433
10,gene,0.0001561980221186521
10,all,5.3172266806806525e-05
5,tf,3.063218452992564e-05
5,non_gene,0.0
5,gene,0.00040643534804996235
5,all,3.307603319026276e-05
10,tf,2.7472002371665158e-05
10,non_gene,0.0
10,gene,0.000111769816336839
10,all,2.5903511724389028e-05
5,tf,0.00017980199672069615
5,non_gene,0.0005414312729055822
5,gene,0.00014512598818425504
5,all,0.00021570913935004256
10,tf,5.8111143922620485e-05
10,non_gene,0.0001379684575806667
10,gene,0.00010455501581098722
10,all,8.328113759672677e-05
5,tf,4.607827264735129e-05
5,non_gene,0.00021110021666316198
5,gene,0.00016266831545408403
5,all,0.0002849662760433636
10,tf,3.250321721923702e-05
10,non_gene,6.51850747798318e-05
10,gene,4.9149912385897824e-05
10,all,9.436740845972472e-05
5,tf,0.00012144244392032154
5,non_gene,0.00020182510044831702
5,gene,0.00044193685784137615
5,all,0.00013119710092036503
10,tf,0.00010168477115604277
10,non_gene,6.770558622128648e-05
10,gene,0.0001314956377985972
10,all,4.515760731489309e-05
5,tf,0.00014455995376309066
5,non_gene,0.0002443545017168496
5,gene,4.2019351071331035e-05
5,all,0.00038381073775122486
10,tf,7.683678642616023e-05
10,non_gene,7.205555279327231e-05
10,gene,2.5446228477896975e-05
10,all,0.00011113822066238305
5,tf,5.601124331186491e-05
5,non_gene,0.0
5,gene,0.00018220448133691308
5,all,4.690083073122004e-05
10,tf,6.384274438911418e-05
10,non_gene,0.0
10,gene,5.536861598443449e-05
10,all,2.7452204994193835e-05
5,tf,0.0003960426232231814
5,non_gene,0.0006777530359443647
5,gene,0.0009056113138004678
5,all,0.0012245972625315135
10,tf,0.00010484483559368191
10,non_gene,0.00016318755119375413
10,gene,0.00022497039237519368
10,all,0.00036728177339295694
5,tf,3.2436563135644065e-05
5,non_gene,0.0003778948193583166
5,gene,0.0001548420405492748
5,all,0.0004290203748979177
10,tf,2.789176966256046e-05
10,non_gene,9.80520635756193e-05
10,gene,5.3740804945532006e-05
10,all,0.00011238898410846043
5,tf,0.0001417171752715074
5,non_gene,4.588914611375622e-05
5,gene,0.00021436040250939368
5,all,3.307243385534767e-05
10,tf,4.91162073676758e-05
10,non_gene,2.995476731649378e-05
10,gene,7.2795505891101e-05
10,all,2.6699098559953083e-05
5,tf,0.0004325833849095494
5,non_gene,4.2136533341176674e-05
5,gene,0.0013268764790657598
5,all,0.00046211459195189713
10,tf,0.00011987610662464924
10,non_gene,3.71213556353943e-05
10,gene,0.00031377193232853297
10,all,0.00012229230169213075
5,tf,0.0007453610571859853
5,non_gene,7.439317257003152e-05
5,gene,4.731648094142854e-05
5,all,0.00040830509134183343
10,tf,0.00020598300571487743
10,non_gene,4.3855949042400296e-05
10,gene,3.376847754724021e-05
10,all,0.00010773400556883273
5,tf,0.0005372783563466609
5,non_gene,0.00031074106367236795
5,gene,0.00035853492110497396
5,all,0.0005805001676489849
10,tf,0.00013466867488860386
10,non_gene,0.00010779804042093097
10,gene,9.448235673299073e-05
10,all,0.00014805160753381214
5,tf,6.772796785946787e-05
5,non_gene,0.0007683884318181398
5,gene,0.0002261658612981159
5,all,0.0006633445838585298
10,tf,5.80512785056945e-05
10,non_gene,0.0001945201077259715
10,gene,7.219726654886009e-05
10,all,0.00023963473674272942
5,tf,0.00010486411330564471
5,non_gene,3.127543963679078e-05
5,gene,3.7578580137346296e-05
5,all,5.273110257453162e-05
10,tf,7.381005082835877e-05
10,non_gene,2.520984040556905e-05
10,gene,2.870212482691387e-05
10,all,5.326399295943139e-05
5,tf,4.191926048064232e-05
5,non_gene,0.00011812078763993009
5,gene,5.3545959796228e-05
5,all,0.00043277191288091776
10,tf,4.277535605695545e-05
10,non_gene,4.7368914882948775e-05
10,gene,3.4033348621189735e-05
10,all,0.00012859238297913678
5,tf,0.0007491528841466532
5,non_gene,0.0001922098079909258
5,gene,0.00025753878330678654
5,all,0.0
10,tf,0.00019425563711176255
10,non_gene,6.0968658401408334e-05
10,gene,8.250383793066776e-05
10,all,0.0
5,tf,0.00022725050406218844
5,non_gene,0.00037385525633999944
5,gene,4.265489413582333e-05
5,all,0.00023150841720074103
10,tf,8.585680178096234e-05
10,non_gene,0.0001106832240690154
10,gene,3.758548144981236e-05
10,all,7.241490288493571e-05
5,tf,0.0003506263787043944
5,non_gene,0.0
5,gene,8.593145600038371e-05
5,all,3.854989854182341e-05
10,tf,0.0001942583110658661
10,non_gene,0.0
10,gene,5.3110072644172854e-05
10,all,3.929827375550728e-05
5,tf,0.0001726966464356804
5,non_gene,0.0017883413962956798
5,gene,7.296763579443374e-05
5,all,0.0004579521837546847
10,tf,6.668857748351109e-05
10,non_gene,0.0006440811659199754
10,gene,3.6035237609256486e-05
10,all,0.00012848162993948478
5,tf,0.00012726570604734518
5,non_gene,2.6736284408067765e-05
5,gene,0.0004083432788745221
5,all,0.0021689230110875806
10,tf,0.00010604247754025933
10,non_gene,3.121969273324311e-05
10,gene,0.00010999979452550741
10,all,0.0008136459284784052
5,tf,0.0002550659586755083
5,non_gene,0.000337762712557773
5,gene,0.0004309993298812951
5,all,0.0
10,tf,7.156129915036232e-05
10,non_gene,9.357286659055152e-05
10,gene,0.00012918127503327054
10,all,0.0
5,tf,0.0004176660077577785
5,non_gene,6.035964938869093e-05
5,gene,3.7039340467295174e-05
5,all,0.00028240092928024654
10,tf,0.00012276051356287102
10,non_gene,3.594376154860561e-05
10,gene,2.5311995478669747e-05
10,all,8.388542617698232e-05
5,tf,0.00042139476207842246
5,non_gene,0.0012116308178090488
5,gene,4.469958397296586e-05
5,all,0.00030593561347660075
10,tf,0.00016701264337238824
10,non_gene,0.0004224509909641153
10,gene,3.985422249369584e-05
10,all,9.0126591098005e-05
5,tf,0.00018679242255278402
5,non_gene,0.00017673727982902356
5,gene,4.1705407128179444e-05
5,all,0.0005525297950658218
10,tf,0.00011310211354770844
10,non_gene,6.105510484710222e-05
10,gene,2.7849160979641378e-05
10,all,0.00016164742690071297
5,tf,0.0002450749412514728
5,non_gene,0.0001447405528348189
5,gene,0.0
5,all,0.00015472674962240302
10,tf,0.0002601643793595156
10,non_gene,7.019627460111962e-05
10,gene,0.0
10,all,5.119004900952757e-05
5,tf,0.000359644993506583
5,non_gene,6.520448321441299e-05
5,gene,0.00038891488758479025
5,all,5.3598342871613016e-05
10,tf,0.00013651761260583594
10,non_gene,3.3158724857576146e-05
10,gene,0.00010684508438478731
10,all,3.1161062754679066e-05
5,tf,0.0004533272307708287
5,non_gene,0.0001891169932651011
5,gene,0.00023738509489965726
5,all,0.00044827054614071974
10,tf,0.00012081504120906287
10,non_gene,6.499684770821891e-05
10,gene,7.314350830430555e-05
10,all,0.00013646903377707677
5,tf,0.0001372941882840197
5,non_gene,4.8086572039202506e-05
5,gene,6.716516869588347e-05
5,all,0.0004628891836451584
10,tf,9.530230015858842e-05
10,non_gene,2.9446352340854486e-05
10,gene,4.239325246507903e-05
10,all,0.00014153867120201815
5,tf,0.0006611662492006182
5,non_gene,0.0003634378518075533
5,gene,5.961251665762007e-05
5,all,8.619814754804185e-05
10,tf,0.00017109538183397377
10,non_gene,0.0001334277609515132
10,gene,4.424708807615396e-05
10,all,5.539237420177308e-05
5,tf,0.00022145444576106142
5,non_gene,0.0003615150474238377
5,gene,0.0004218622977593324
5,all,0.0005355465301033668
10,tf,0.00014858465438322146
10,non_gene,0.00010213881513960404
10,gene,0.00010663417770279486
10,all,0.00016966822494466946
5,tf,4.8381766514377025e-05
5,non_gene,0.0
5,gene,9.359148257789051e-05
5,all,0.00041885187160987816
10,tf,3.7639301035156916e-05
10,non_gene,0.0
10,gene,6.618848841474777e-05
10,all,0.00011553556833750015
5,tf,0.00011037607250380103
5,non_gene,0.0002238978087328618
5,gene,9.755597919830318e-05
5,all,4.854345316101853e-05
10,tf,4.8015903454033604e-05
10,non_gene,6.956165673640803e-05
10,gene,6.736889578845015e-05
10,all,3.377349591292555e-05
5,tf,0.0002619996844414695
5,non_gene,0.0
5,gene,0.0005274770000504077
5,all,0.00018421112807876275
10,tf,7.457603251425149e-05
10,non_gene,0.0
10,gene,0.00013000954966078083
10,all,6.290136237981147e-05
5,tf,0.0004401889517111891
5,non_gene,0.0003011520036865402
5,gene,0.0002614576126464493
5,all,2.9005939244769733e-05
10,tf,0.00011387246810106824
10,non_gene,0.0001245498232184377
10,gene,7.055151416315561e-05
10,all,2.882914148511764e-05
5,tf,0.0001598680526976912
5,non_gene,0.0014988178155399055
5,gene,4.184992911886576e-05
5,all,0.000250045338342184
10,tf,6.17603431333649e-05
10,non_gene,0.00045314899388747986
10,gene,3.5373501954692155e-05
10,all,8.454245167163643e-05
5,tf,0.00023676365538989968
5,non_gene,0.0015495063341115873
5,gene,0.00011620718455998738
5,all,0.00012383008428358872
10,tf,6.924772641581225e-05
10,non_gene,0.0006212746718805228
10,gene,4.159617435911634e-05
10,all,5.610067649954283e-05
5,tf,0.0004323519493089718
5,non_gene,0.0
5,gene,3.413336303422688e-05
5,all,6.249470434244379e-05
10,tf,0.00011544380414570276
10,non_gene,0.0
10,gene,2.8403056180218534e-05
10,all,3.7760766817928014e-05
5,tf,0.0013903740342620602
5,non_gene,0.0005128081253091217
5,gene,0.00012071887054385484
5,all,0.0001617616826758226
10,tf,0.0006250525240263332
10,non_gene,0.00013453426012263292
10,gene,4.579975873541967e-05
10,all,6.400951791239747e-05
5,tf,0.00031191581679777526
5,non_gene,4.4998709862354585e-05
5,gene,8.017217455919544e-05
5,all,0.0007395033468629297
10,tf,0.00016152007234481412
10,non_gene,2.818973449711051e-05
10,gene,5.3948170167236116e-05
10,all,0.00018885141567450176
5,tf,0.0001374978806563015
5,non_gene,5.8902299710355884e-05
5,gene,0.0
5,all,0.0002924881489098605
10,tf,5.799682840567664e-05
10,non_gene,2.8586844961918647e-05
10,gene,0.0
10,all,8.790096609565462e-05
5,tf,7.191976614590587e-05
5,non_gene,0.000709877715646026
5,gene,0.00012522776326621756
5,all,0.00021469155267009213
10,tf,7.658287491582488e-05
10,non_gene,0.00018087323314559174
10,gene,4.8855466797554e-05
10,all,6.782577079063845e-05
5,tf,6.000010892792388e-05
5,non_gene,2.951166008518655e-05
5,gene,0.0007710869187095802
5,all,0.00026835149902213867
10,tf,3.236281176820727e-05
10,non_gene,2.7519602222734874e-05
10,gene,0.00018962582351284173
10,all,8.122322905103987e-05
5,tf,0.00017280251345522664
5,non_gene,0.0001970294189658337
5,gene,0.0
5,all,0.0009582547852926455
10,tf,0.0001345745897494885
10,non_gene,6.385762515609258e-05
10,gene,0.0
10,all,0.0002568795564426224
5,tf,4.886803011081564e-05
5,non_gene,0.00026984142513236247
5,gene,0.0021714878621631947
5,all,0.00023994122081268007
10,tf,6.215823549609505e-05
10,non_gene,8.104919965113486e-05
10,gene,0.0008897655542523858
10,all,8.923478155895249e-05
5,tf,0.0006975586916862529
5,non_gene,4.139732172852164e-05
5,gene,0.00031234135907160193
5,all,4.812701685633e-05
10,tf,0.00027773396190216556
10,non_gene,2.6731170604409806e-05
