clique_size,model_type,strength
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.0018974100507771912
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.002403120828411011
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0017585669449615845
5,tf,0.009069517002965485
5,non_gene,0.0014243494531231487
5,gene,0.003026568767760478
10,tf,0.0025770272412919014
10,non_gene,0.0011589995202641722
10,gene,0.0024774807894385725
15,tf,0.0014293608931312456
15,non_gene,0.0007613052801288018
15,gene,0.001430939960474746
5,tf,0.0016377315586074519
5,non_gene,0.002592469748725537
5,gene,0.0014704188804240766
10,tf,0.001782217828136158
10,non_gene,0.0018923942490739198
10,gene,0.001792745740347658
15,tf,0.001313209383266646
15,non_gene,0.0011624574798308677
15,gene,0.0016522050290367644
5,tf,0.0023214654384431954
5,non_gene,0.001162536967800584
5,gene,0.001006042879556956
10,tf,0.0011118954810016308
10,non_gene,0.0014245881006774248
10,gene,0.0008895198190728244
15,tf,0.0009015698333812198
15,non_gene,0.0020523015202428036
15,gene,0.0012913870876625146
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.002098420113608359
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.001260965293267073
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.000873905284512631
5,tf,0.0018273988970309283
5,non_gene,0.004049093266167021
5,gene,0.0027892997391637405
10,tf,0.003474614226487009
10,non_gene,0.0019046181944312006
10,gene,0.001934776863920772
15,tf,0.0023857617032802024
15,non_gene,0.0015323667516573313
15,gene,0.001178784539608714
5,tf,0.005786536501578402
5,non_gene,0.005417798031632155
5,gene,0.010022291804715477
10,tf,0.0019439798672756363
10,non_gene,0.0025599566560896205
10,gene,0.005037976659875409
15,tf,0.0012619294720191366
15,non_gene,0.0016987869428401543
15,gene,0.0037482587731569074
5,tf,0.00113749098519563
5,non_gene,0.0014542991851244438
5,gene,0.008141976458282432
10,tf,0.0027855342065602547
10,non_gene,0.0005912324385815054
10,gene,0.004727338122941216
15,tf,0.0014998281242454075
15,non_gene,0.0008148151104831814
